id,CrimeDate,CrimeTime,CrimeCode,Location,Description,Inside/Outside,Weapon,Post,District,Neighborhood,Longitude,Latitude,Location 1,Premise,vri_name1,Total Incidents
139,2020-06-22,20:47:00,1O,4400 ELDONE RD,HOMICIDE,Inside,OTHER,833.0,SOUTHWEST,YALE HEIGHTS,-76.691269008679,39.276789135787,,DWELLING,,1
140,2020-06-20,20:00:00,1A,3600 WILKENS AV,HOMICIDE,Outside,FIREARM,833.0,SOUTHWEST,IRVINGTON,-76.681076688894,39.270795554817,,PUBLIC AREA,,1
141,2020-06-20,02:47:00,1A,500 N BOULDIN ST,HOMICIDE,Outside,FIREARM,224.0,SOUTHEAST,ELLWOOD PARK/MONUMENT,-76.571450599483,39.297192868143,,STREET,,1
142,2020-06-19,12:03:00,1O,200 BOSWELL RD,HOMICIDE,Outside,OTHER,823.0,SOUTHWEST,WESTGATE,-76.703952468848,39.282590159948,,VEHICLE,,1
143,2020-06-19,12:03:00,1A,200 BOSWELL RD,HOMICIDE,Outside,FIREARM,823.0,SOUTHWEST,WESTGATE,-76.703952468848,39.282590159948,,VEHICLE,,1
144,2020-06-19,12:03:00,1A,200 BOSWELL RD,HOMICIDE,Outside,FIREARM,823.0,SOUTHWEST,WESTGATE,-76.703952468848,39.282590159948,,VEHICLE,,1
145,2020-06-18,03:00:00,1A,1900 W LEXINGTON ST,HOMICIDE,Outside,FIREARM,714.0,WESTERN,PENROSE/FAYETTE STREET OUTREACH,-76.647568259674,39.290624299695,,STREET,,1
146,2020-06-17,13:22:00,1A,2900 W GARRISON AV,HOMICIDE,Outside,FIREARM,614.0,NORTHWEST,CENTRAL PARK HEIGHTS,-76.669238814332,39.349690517727,,STREET,,1
147,2020-06-14,13:42:00,1A,2000 RAMSAY ST,HOMICIDE,Outside,FIREARM,934.0,SOUTHERN,CARROLLTON RIDGE,-76.648463083803,39.283146026918,,STREET,Tri-District,1
148,2020-06-12,10:17:00,1A,2100 WILKENS AV,HOMICIDE,Outside,FIREARM,834.0,SOUTHWEST,CARROLLTON RIDGE,-76.649274243853,39.281302042782,,PUBLIC SCHOOL,Tri-District,1
149,2020-06-11,20:57:00,1A,3700 GELSTON DR,HOMICIDE,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.678987525583,39.295810813303,,STREET,,1
150,2020-06-10,20:52:00,1A,2400 ALBION AV,HOMICIDE,Outside,FIREARM,421.0,NORTHEAST,LAURAVILLE,-76.575051696226,39.349277194094,,STREET,,1
151,2020-06-10,18:45:00,1A,1800 W NORTH AV,HOMICIDE,Outside,FIREARM,731.0,WESTERN,MONDAWMIN,-76.646579843889,39.309954503473,,STREET,Western,1
152,2020-06-08,02:51:00,1A,200 N CAROLINE ST,HOMICIDE,Outside,FIREARM,212.0,SOUTHEAST,DUNBAR-BROADWAY,-76.597406934331,39.294366491725,,STREET,,1
153,2020-06-07,05:45:00,1A,2400 N PULASKI ST,HOMICIDE,Outside,FIREARM,731.0,WESTERN,MONDAWMIN,-76.65155961688,39.314923136527,,ALLEY,Western,1
154,2020-06-07,02:34:00,1A,3700 BOARMAN AV,HOMICIDE,Outside,FIREARM,623.0,NORTHWEST,CALLAWAY-GARRISON,-76.676109469898,39.334845415671,,STREET,,1
155,2020-06-06,21:10:00,1K,4500 E FAYETTE ST,HOMICIDE,Outside,KNIFE,232.0,SOUTHEAST,KRESSON,-76.559705766696,39.295231013357,,PUBLIC AREA,,1
156,2020-06-05,21:33:00,1A,1700 GORSUCH AV,HOMICIDE,Outside,FIREARM,411.0,NORTHEAST,COLDSTREAM HOMESTEAD MONTEBELLO,-76.594122959952,39.320985892352,,STREET,,1
157,2020-06-03,00:45:00,1A,700 W SARATOGA ST,HOMICIDE,Outside,FIREARM,122.0,CENTRAL,POPPLETON,-76.627939063679,39.292784522564,,STREET,,1
158,2020-06-03,00:45:00,1A,3500 HARLEM AV,HOMICIDE,Outside,FIREARM,815.0,SOUTHWEST,EDMONDSON VILLAGE,-76.67569535367,39.29536985367,,STREET,,1
159,2020-06-02,13:23:00,1A,800 MCKEAN AV,HOMICIDE,Inside,FIREARM,722.0,WESTERN,HARLEM PARK,-76.646684613685,39.298382713313,,DWELLING,,1
160,2020-06-02,23:00:00,1A,5600 HADDON AV,HOMICIDE,Outside,FIREARM,634.0,NORTHWEST,GROVE PARK,-76.704238294157,39.337823647415,,STREET,,1
